"RFfreq
References : ['plot_vs(Gain_Transducer, Pdel_dBm)','plot_vs(PAE, Pdel_dBm)']
Dependency : [RFfreq]
Num. Points : [21]
Matrix Size : scalar
Type : Real","Pdel_dBm
References : ['plot_vs(Gain_Transducer, Pdel_dBm)','plot_vs(PAE, Pdel_dBm)']
Dependency : [RFfreq,RFpower]
Num. Points : [21,212]
Matrix Size : scalar
Type : Real","plot_vs(Gain_Transducer, Pdel_dBm)
References : []
Dependency : [RFfreq,Pdel_dBm]
Num. Points : [21,212]
Matrix Size : scalar
Type : Real","plot_vs(PAE, Pdel_dBm)
References : []
Dependency : [RFfreq,Pdel_dBm]
Num. Points : [21,212]
Matrix Size : scalar
Type : Real"
40.000,18.091,18.091,3.578
40.000,18.186,18.086,3.656
40.000,18.281,18.081,3.735
40.000,18.376,18.076,3.816
40.000,18.470,18.070,3.898
40.000,18.565,18.065,3.982
40.000,18.659,18.059,4.068
40.000,18.753,18.053,4.155
40.000,18.847,18.047,4.244
40.000,18.941,18.041,4.335
40.000,19.034,18.034,4.427
40.000,19.128,18.028,4.521
40.000,19.221,18.021,4.617
40.000,19.314,18.014,4.714
40.000,19.406,18.006,4.813
40.000,19.499,17.999,4.914
40.000,19.591,17.991,5.016
40.000,19.683,17.983,5.121
40.000,19.775,17.975,5.227
40.000,19.866,17.966,5.335
40.000,19.957,17.957,5.445
40.000,20.048,17.948,5.556
40.000,20.139,17.939,5.670
40.000,20.229,17.929,5.785
40.000,20.319,17.919,5.902
40.000,20.409,17.909,6.021
40.000,20.498,17.898,6.141
40.000,20.587,17.887,6.264
40.000,20.676,17.876,6.388
40.000,20.764,17.864,6.514
40.000,20.852,17.852,6.641
40.000,20.939,17.839,6.771
40.000,21.026,17.826,6.902
40.000,21.113,17.813,7.035
40.000,21.200,17.800,7.170
40.000,21.285,17.785,7.306
40.000,21.371,17.771,7.444
40.000,21.456,17.756,7.584
40.000,21.541,17.741,7.725
40.000,21.625,17.725,7.867
40.000,21.708,17.708,8.011
